country,avg_shock,db,node,config
Thailand,-0.03746393584489498,GDELT,Biden hikes tariffs on China EVs,baseline
United Arab Emirates,-0.19859183238706485,GDELT,Biden hikes tariffs on China EVs,baseline
United Kingdom,-0.11898954551700681,GDELT,Biden hikes tariffs on China EVs,baseline
Vietnam,-0.6292571827724324,GDELT,Biden hikes tariffs on China EVs,baseline
Australia,-0.054381294298658844,GDELT,US-China reciprocal tariff war escalates in April 2025,baseline
Belgium,0.1586058983726775,GDELT,US-China reciprocal tariff war escalates in April 2025,baseline
Brazil,-0.5020124551765253,GDELT,US-China reciprocal tariff war escalates in April 2025,baseline
Canada,0.4028073162716153,GDELT,US-China reciprocal tariff war escalates in April 2025,baseline
France,-0.4598102415949041,GDELT,US-China reciprocal tariff war escalates in April 2025,baseline
Germany,-0.43790629846409657,GDELT,US-China reciprocal tariff war escalates in April 2025,baseline
India,-0.18708571040821645,GDELT,US-China reciprocal tariff war escalates in April 2025,baseline
Indonesia,0.4556875520797409,GDELT,US-China reciprocal tariff war escalates in April 2025,baseline
Iran,-0.06241193693552367,GDELT,US-China reciprocal tariff war escalates in April 2025,baseline
Italy,0.05279154110313823,GDELT,US-China reciprocal tariff war escalates in April 2025,baseline
Japan,-0.3528061732679927,GDELT,US-China reciprocal tariff war escalates in April 2025,baseline
Malaysia,0.5314992874976634,GDELT,US-China reciprocal tariff war escalates in April 2025,baseline
Mexico,0.48155711015348773,GDELT,US-China reciprocal tariff war escalates in April 2025,baseline
Netherlands,0.08348100681157666,GDELT,US-China reciprocal tariff war escalates in April 2025,baseline
Philippines,-0.08299114135946153,GDELT,US-China reciprocal tariff war escalates in April 2025,baseline
Russia,-0.1847497184885996,GDELT,US-China reciprocal tariff war escalates in April 2025,baseline
Saudi Arabia,0.008501963972338171,GDELT,US-China reciprocal tariff war escalates in April 2025,baseline
Singapore,-0.11910454027288715,GDELT,US-China reciprocal tariff war escalates in April 2025,baseline
South Korea,0.2733743084958315,GDELT,US-China reciprocal tariff war escalates in April 2025,baseline
Spain,0.17264416478791605,GDELT,US-China reciprocal tariff war escalates in April 2025,baseline
Thailand,-0.14690288719891295,GDELT,US-China reciprocal tariff war escalates in April 2025,baseline
United Arab Emirates,-0.05188069670904493,GDELT,US-China reciprocal tariff war escalates in April 2025,baseline
United Kingdom,0.10810708486754642,GDELT,US-China reciprocal tariff war escalates in April 2025,baseline
Vietnam,0.47088959725074814,GDELT,US-China reciprocal tariff war escalates in April 2025,baseline
Australia,-0.1951711821855844,GDELT,China-US economic and trade talks held in Madrid,baseline
Belgium,0.3825283984304772,GDELT,China-US economic and trade talks held in Madrid,baseline
Brazil,0.4224623572867608,GDELT,China-US economic and trade talks held in Madrid,baseline
Canada,0.568443840297434,GDELT,China-US economic and trade talks held in Madrid,baseline
France,-0.6391677259243793,GDELT,China-US economic and trade talks held in Madrid,baseline
Germany,-0.17183441450347356,GDELT,China-US economic and trade talks held in Madrid,baseline
India,-0.006938907217877752,GDELT,China-US economic and trade talks held in Madrid,baseline
Indonesia,-0.37582006458888095,GDELT,China-US economic and trade talks held in Madrid,baseline
Iran,0.5661546416905423,GDELT,China-US economic and trade talks held in Madrid,baseline
Italy,-0.30060093612704314,GDELT,China-US economic and trade talks held in Madrid,baseline
Japan,-0.2672078454780018,GDELT,China-US economic and trade talks held in Madrid,baseline
Malaysia,0.04330004960024089,GDELT,China-US economic and trade talks held in Madrid,baseline
Mexico,-0.2288995701018323,GDELT,China-US economic and trade talks held in Madrid,baseline
Netherlands,-0.5774938411378615,GDELT,China-US economic and trade talks held in Madrid,baseline
Philippines,-0.14542048460809276,GDELT,China-US economic and trade talks held in Madrid,baseline
Russia,-0.011906666572347485,GDELT,China-US economic and trade talks held in Madrid,baseline
Saudi Arabia,-0.2945481286604748,GDELT,China-US economic and trade talks held in Madrid,baseline
Singapore,1.1648290455484236,GDELT,China-US economic and trade talks held in Madrid,baseline
South Korea,0.4486764277484686,GDELT,China-US economic and trade talks held in Madrid,baseline
Spain,-0.04442713675758918,GDELT,China-US economic and trade talks held in Madrid,baseline
Thailand,-0.21267808699760857,GDELT,China-US economic and trade talks held in Madrid,baseline
United Arab Emirates,0.15474225372480238,GDELT,China-US economic and trade talks held in Madrid,baseline
United Kingdom,-0.4253745525603128,GDELT,China-US economic and trade talks held in Madrid,baseline
Vietnam,-0.02316455884818172,GDELT,China-US economic and trade talks held in Madrid,baseline
Australia,0.1521917203689659,ICEWS,Financial Crisis Cooperation,baseline
Belgium,0.38250534081470644,ICEWS,Financial Crisis Cooperation,baseline
Brazil,0.13960179801495448,ICEWS,Financial Crisis Cooperation,baseline
Canada,-0.08345719240813197,ICEWS,Financial Crisis Cooperation,baseline
France,0.19125620781901945,ICEWS,Financial Crisis Cooperation,baseline
Germany,0.6499657682547277,ICEWS,Financial Crisis Cooperation,baseline
India,0.15965339406699464,ICEWS,Financial Crisis Cooperation,baseline
Indonesia,0.7567958537148287,ICEWS,Financial Crisis Cooperation,baseline
Iran,0.2324990406052975,ICEWS,Financial Crisis Cooperation,baseline
Italy,-0.2874816251997122,ICEWS,Financial Crisis Cooperation,baseline
Japan,-0.2083111385452375,ICEWS,Financial Crisis Cooperation,baseline
Malaysia,0.21231875299026726,ICEWS,Financial Crisis Cooperation,baseline
