ISO,Country,trade,variable,estimate,se,pval,sig,trade_label,sensitivity
MY,Malaysia,Trade_Exports,Event_Negative,-0.257280580505053,0.0279575018569121,3.49522506358406e-20,***,出口,-0.282314523980597
MY,Malaysia,Trade_Imports,Event_Positive,0.0893438224044188,0.0172283739936834,2.15027874386666e-07,***,进口,-0.282314523980597
MY,Malaysia,Trade_Imports,Event_Negative,-0.101713235389011,0.027444231923311,0.000210409636835013,***,进口,-0.282314523980597
NL,Netherlands,Trade_Total,Event_Positive,0.014328818355974,0.0352284415962617,0.684198916497814,"",总贸易,0.0035317224915379
NL,Netherlands,Trade_Total,Event_Negative,0.0178605408475119,0.0340520820507694,0.599926249545016,"",总贸易,0.0035317224915379
NL,Netherlands,Trade_Exports,Event_Positive,0.00204056749141473,0.0310094662856856,0.947533343422882,"",出口,0.0035317224915379
NL,Netherlands,Trade_Exports,Event_Negative,0.0189366269331706,0.0342428488458787,0.580256780756254,"",出口,0.0035317224915379
NL,Netherlands,Trade_Imports,Event_Positive,0.0129478113351306,0.0500777637874972,0.795979299131277,"",进口,0.0035317224915379
NL,Netherlands,Trade_Imports,Event_Negative,0.107934948961551,0.0389347563162419,0.00556787385806963,***,进口,0.0035317224915379
PH,Philippines,Trade_Total,Event_Positive,0.0326399158933234,0.0286985393819088,0.255397357009085,"",总贸易,-0.101356817033965
PH,Philippines,Trade_Total,Event_Negative,-0.0687169011406418,0.00921748096740529,8.98249112833506e-14,***,总贸易,-0.101356817033965
PH,Philippines,Trade_Exports,Event_Positive,-0.022330460084645,0.0391754809150079,0.56867015024837,"",出口,-0.101356817033965
PH,Philippines,Trade_Exports,Event_Negative,-0.017576759020966,0.00880924016906472,0.0460141034244764,**,出口,-0.101356817033965
PH,Philippines,Trade_Imports,Event_Positive,0.114371945276179,0.0316453549211613,0.000301302027242172,***,进口,-0.101356817033965
PH,Philippines,Trade_Imports,Event_Negative,-0.145623020072975,0.0189787646472392,1.68091386592177e-14,***,进口,-0.101356817033965
RU,Russia,Trade_Total,Event_Positive,-0.004373365268594,0.010974299965753,0.690254490682128,"",总贸易,-0.0275761299514355
RU,Russia,Trade_Total,Event_Negative,-0.0319494952200295,0.0599528045026094,0.594095349427475,"",总贸易,-0.0275761299514355
RU,Russia,Trade_Exports,Event_Positive,0.016103697427729,0.0119328906482523,0.177169386400356,"",出口,-0.0275761299514355
RU,Russia,Trade_Exports,Event_Negative,0.124660672380078,0.0688768574572211,0.070310287150625,*,出口,-0.0275761299514355
RU,Russia,Trade_Imports,Event_Positive,-0.0247320795342756,0.0161147144001076,0.124844919355492,"",进口,-0.0275761299514355
RU,Russia,Trade_Imports,Event_Negative,-0.203502056937588,0.0676092575571579,0.0026127069614044,***,进口,-0.0275761299514355
SA,Saudi Arabia,Trade_Total,Event_Positive,0.0553571535695794,0.0480223792769606,0.249018519512536,"",总贸易,-0.0517836293866217
SA,Saudi Arabia,Trade_Total,Event_Negative,0.00357352418295771,0.017959779131041,0.842283296773953,"",总贸易,-0.0517836293866217
SA,Saudi Arabia,Trade_Exports,Event_Positive,0.224881215719911,0.0622903097685205,0.00030594699413318,***,出口,-0.0517836293866217
SA,Saudi Arabia,Trade_Exports,Event_Negative,-0.0261127847194262,0.0164424283592335,0.112255969984018,"",出口,-0.0517836293866217
SA,Saudi Arabia,Trade_Imports,Event_Positive,-0.0213968855169907,0.0465517661839996,0.645777238220816,"",进口,-0.0517836293866217
