,event_category,db,window,n_events,n_hit,hit_rate,quadclass,coop_conf
# Table S9-1 | Hit rate by event category across four databases and three windows,,,,,,,,
,Security threat,GDELT,W_1m,5.0,4.0,0.8,Material conflict,Conflict/Shock
,Security threat,GDELT,W_2m,5.0,5.0,1.0,Material conflict,Conflict/Shock
,Security threat,ICEWS,W_strict,5.0,4.0,0.8,Material conflict,Conflict/Shock
,Security threat,ICEWS,W_1m,5.0,4.0,0.8,Material conflict,Conflict/Shock
,Security threat,ICEWS,W_2m,5.0,4.0,0.8,Material conflict,Conflict/Shock
,Security threat,Phoenix,W_strict,3.0,2.0,0.667,Material conflict,Conflict/Shock
,Security threat,Phoenix,W_1m,3.0,1.0,0.333,Material conflict,Conflict/Shock
,Security threat,Phoenix,W_2m,3.0,1.0,0.333,Material conflict,Conflict/Shock
,Security threat,Tsinghua,W_strict,4.0,3.0,0.75,Material conflict,Conflict/Shock
,Security threat,Tsinghua,W_1m,4.0,3.0,0.75,Material conflict,Conflict/Shock
,Security threat,Tsinghua,W_2m,4.0,3.0,0.75,Material conflict,Conflict/Shock
,Sovereignty dispute,GDELT,W_strict,34.0,25.0,0.714,Material conflict,Conflict/Shock
,Sovereignty dispute,GDELT,W_1m,34.0,25.0,0.714,Material conflict,Conflict/Shock
,Sovereignty dispute,GDELT,W_2m,34.0,23.0,0.657,Material conflict,Conflict/Shock
,Sovereignty dispute,ICEWS,W_strict,33.0,27.0,0.794,Material conflict,Conflict/Shock
,Sovereignty dispute,ICEWS,W_1m,33.0,23.0,0.676,Material conflict,Conflict/Shock
,Sovereignty dispute,ICEWS,W_2m,33.0,23.0,0.676,Material conflict,Conflict/Shock
,Sovereignty dispute,Phoenix,W_strict,21.0,16.0,0.727,Material conflict,Conflict/Shock
,Sovereignty dispute,Phoenix,W_1m,21.0,16.0,0.727,Material conflict,Conflict/Shock
,Sovereignty dispute,Phoenix,W_2m,21.0,16.0,0.727,Material conflict,Conflict/Shock
,Sovereignty dispute,Tsinghua,W_strict,24.0,17.0,0.708,Material conflict,Conflict/Shock
,Sovereignty dispute,Tsinghua,W_1m,24.0,18.0,0.75,Material conflict,Conflict/Shock
,Sovereignty dispute,Tsinghua,W_2m,24.0,18.0,0.75,Material conflict,Conflict/Shock
