db,version,country,event_name,category,post_month,shock
GDELT,v3,France,Airbus A320 final assembly line MoU signed,Economic win-win cooperation,6,2.8844872535533526
GDELT,v3,France,Airbus A320 final assembly line MoU signed,Economic win-win cooperation,12,0.5611673205792529
GDELT,v3,France,Mega deals on aviation railways and nuclear power signed,Economic win-win cooperation,0,0.39935271628178287
GDELT,v3,France,Mega deals on aviation railways and nuclear power signed,Economic win-win cooperation,1,0.10214346840224342
GDELT,v3,France,Mega deals on aviation railways and nuclear power signed,Economic win-win cooperation,3,-0.2764433747342766
GDELT,v3,France,Mega deals on aviation railways and nuclear power signed,Economic win-win cooperation,6,-0.33964829936016017
GDELT,v3,France,Mega deals on aviation railways and nuclear power signed,Economic win-win cooperation,12,-0.32811151400143446
GDELT,v3,France,Olympic torch relay disrupted in Paris,Diplomatic protest / friction,0,-1.813049919814627
GDELT,v3,France,Olympic torch relay disrupted in Paris,Diplomatic protest / friction,1,1.125489609904179
GDELT,v3,France,Olympic torch relay disrupted in Paris,Diplomatic protest / friction,3,1.0716501386476016
GDELT,v3,France,Olympic torch relay disrupted in Paris,Diplomatic protest / friction,6,0.5359455373968128
GDELT,v3,France,Olympic torch relay disrupted in Paris,Diplomatic protest / friction,12,-0.1007395144888085
GDELT,v3,France,Sarkozy meets Dalai Lama in Poland,Diplomatic protest / friction,0,-1.56193133997964
GDELT,v3,France,Sarkozy meets Dalai Lama in Poland,Diplomatic protest / friction,1,-0.6211857320682403
GDELT,v3,France,Sarkozy meets Dalai Lama in Poland,Diplomatic protest / friction,3,-0.907949586525755
GDELT,v3,France,Sarkozy meets Dalai Lama in Poland,Diplomatic protest / friction,6,0.7891124086676006
GDELT,v3,France,Sarkozy meets Dalai Lama in Poland,Diplomatic protest / friction,12,1.0048373900203502
GDELT,v3,France,China-France joint communique restores ties,Strategic partnership upgrade,0,1.5307462092750164
GDELT,v3,France,China-France joint communique restores ties,Strategic partnership upgrade,1,1.9719942603893381
GDELT,v3,France,China-France joint communique restores ties,Strategic partnership upgrade,3,0.2781424983656109
GDELT,v3,France,China-France joint communique restores ties,Strategic partnership upgrade,6,2.045898356747332
GDELT,v3,France,China-France joint communique restores ties,Strategic partnership upgrade,12,2.0928432606527716
GDELT,v3,France,Airbus cooperation agreements and aircraft orders,Economic win-win cooperation,0,0.22091963666155978
GDELT,v3,France,Airbus cooperation agreements and aircraft orders,Economic win-win cooperation,1,0.16068277706298417
GDELT,v3,France,Airbus cooperation agreements and aircraft orders,Economic win-win cooperation,3,-0.5440455163667168
GDELT,v3,France,Airbus cooperation agreements and aircraft orders,Economic win-win cooperation,6,-0.1265447264706847
GDELT,v3,France,Airbus cooperation agreements and aircraft orders,Economic win-win cooperation,12,-0.15278482503824997
GDELT,v3,France,France applies to join AIIB as founding member,Economic win-win cooperation,0,0.7433631015062181
GDELT,v3,France,France applies to join AIIB as founding member,Economic win-win cooperation,1,1.1026620908432236
GDELT,v3,France,France applies to join AIIB as founding member,Economic win-win cooperation,3,0.7353715732593455
GDELT,v3,France,France applies to join AIIB as founding member,Economic win-win cooperation,6,0.7616760931720576
GDELT,v3,France,France applies to join AIIB as founding member,Economic win-win cooperation,12,-0.4851332862846767
GDELT,v3,France,China-France joint statement on third-party market cooperation,Economic win-win cooperation,0,-0.0974768383843243
GDELT,v3,France,China-France joint statement on third-party market cooperation,Economic win-win cooperation,1,0.7147899174310701
GDELT,v3,France,China-France joint statement on third-party market cooperation,Economic win-win cooperation,3,-0.0711723184716122
GDELT,v3,France,China-France joint statement on third-party market cooperation,Economic win-win cooperation,6,-1.7187886477986616
GDELT,v3,France,China-France joint statement on third-party market cooperation,Economic win-win cooperation,12,-2.4299311765540295
GDELT,v3,France,China issues 4 billion euro sovereign bonds in Paris,Economic win-win cooperation,0,-0.3394221991116489
GDELT,v3,France,China issues 4 billion euro sovereign bonds in Paris,Economic win-win cooperation,1,-0.7306330683175024
GDELT,v3,France,China issues 4 billion euro sovereign bonds in Paris,Economic win-win cooperation,3,-2.0087079551587843
GDELT,v3,France,China issues 4 billion euro sovereign bonds in Paris,Economic win-win cooperation,6,-1.3784882011668398
GDELT,v3,France,China issues 4 billion euro sovereign bonds in Paris,Economic win-win cooperation,12,0.14798906744344686
GDELT,v3,France,French limits on Huawei 5G equipment,Tech control / export restriction,0,-1.2479121650364307
GDELT,v3,France,French limits on Huawei 5G equipment,Tech control / export restriction,1,-0.30124824767731684
GDELT,v3,France,French limits on Huawei 5G equipment,Tech control / export restriction,3,0.7980452038546183
GDELT,v3,France,French limits on Huawei 5G equipment,Tech control / export restriction,6,0.5993581623579676
GDELT,v3,France,French limits on Huawei 5G equipment,Tech control / export restriction,12,-0.15269038776088195
GDELT,v3,France,China announces sanctions on relevant EU entities and personnel (including French MEP Raphaël Glucksmann),Diplomatic protest / friction,0,-0.8222086263895412
GDELT,v3,France,China announces sanctions on relevant EU entities and personnel (including French MEP Raphaël Glucksmann),Diplomatic protest / friction,1,1.7976722574540938
GDELT,v3,France,China announces sanctions on relevant EU entities and personnel (including French MEP Raphaël Glucksmann),Diplomatic protest / friction,3,0.35115934653272807
GDELT,v3,France,China announces sanctions on relevant EU entities and personnel (including French MEP Raphaël Glucksmann),Diplomatic protest / friction,6,0.036180064936190054
GDELT,v3,France,China announces sanctions on relevant EU entities and personnel (including French MEP Raphaël Glucksmann),Diplomatic protest / friction,12,-0.3997208346874317
