country,avg_shock,db,node,valence,node_date
Netherlands,-0.42478669214902165,GDELT,Biden hikes tariffs on China EVs,negative,2024-05-01
Philippines,-0.23020022513316132,GDELT,Biden hikes tariffs on China EVs,negative,2024-05-01
Russia,0.41651509716476354,GDELT,Biden hikes tariffs on China EVs,negative,2024-05-01
Saudi Arabia,0.3622691739466033,GDELT,Biden hikes tariffs on China EVs,negative,2024-05-01
Singapore,-0.09585791909410825,GDELT,Biden hikes tariffs on China EVs,negative,2024-05-01
South Korea,0.20002702331459124,GDELT,Biden hikes tariffs on China EVs,negative,2024-05-01
Spain,0.05938299428062361,GDELT,Biden hikes tariffs on China EVs,negative,2024-05-01
Thailand,-0.14424504799130425,GDELT,Biden hikes tariffs on China EVs,negative,2024-05-01
United Arab Emirates,-0.17599506361488432,GDELT,Biden hikes tariffs on China EVs,negative,2024-05-01
United Kingdom,0.136734163923474,GDELT,Biden hikes tariffs on China EVs,negative,2024-05-01
Vietnam,-0.7081565233741008,GDELT,Biden hikes tariffs on China EVs,negative,2024-05-01
Australia,0.31425474435929,GDELT,US-China reciprocal tariff war escalates in April 2025,negative,2025-04-01
Belgium,0.21259138511799952,GDELT,US-China reciprocal tariff war escalates in April 2025,negative,2025-04-01
Brazil,-0.5441867088585969,GDELT,US-China reciprocal tariff war escalates in April 2025,negative,2025-04-01
Canada,0.07394668087886891,GDELT,US-China reciprocal tariff war escalates in April 2025,negative,2025-04-01
France,-0.9056208365911199,GDELT,US-China reciprocal tariff war escalates in April 2025,negative,2025-04-01
Germany,-0.5376993878762245,GDELT,US-China reciprocal tariff war escalates in April 2025,negative,2025-04-01
India,-0.34062471963583324,GDELT,US-China reciprocal tariff war escalates in April 2025,negative,2025-04-01
Indonesia,0.06550085843229826,GDELT,US-China reciprocal tariff war escalates in April 2025,negative,2025-04-01
Iran,-0.11641059337317534,GDELT,US-China reciprocal tariff war escalates in April 2025,negative,2025-04-01
Italy,0.2322138019129596,GDELT,US-China reciprocal tariff war escalates in April 2025,negative,2025-04-01
Japan,-0.537357246769401,GDELT,US-China reciprocal tariff war escalates in April 2025,negative,2025-04-01
Malaysia,0.499085841602056,GDELT,US-China reciprocal tariff war escalates in April 2025,negative,2025-04-01
