country,year,indicator_type,favorable,unfavorable,n_sample,source,wave,gdelt_mean,gdelt_std,gdelt_n_months,icews_mean,icews_std,icews_n_months,phoenix_mean,phoenix_std,phoenix_n_months,tsinghua_mean,tsinghua_std,tsinghua_n_months,polling_z,polling_z_by_source,n_obs,polling_z_pew,n_events_total,n_positive,n_negative,n_neutral,has_negative,has_positive,has_any_event,n_visit_total,n_visit_state_head,n_visit_gov_head,n_visit_china_to_partner,n_visit_partner_to_china,n_visit_third_party,n_conflict,n_cooperative,has_conflict,n_high_level_visit,n_economic_win_win_cooperation,n_multilateral___third_party_meeting,n_strategic_partnership_upgrade,n_sovereignty_dispute
India,2010,好感度%（四级题，1-2档）,30.6,50,1818,Pew Research Center,Pew_2010_22国,0.994331577230484,1.06224652894776,12,1.2239769635518,1.12526193388881,12,1.48611118106867,1.9013574059838,12,4.93333333333333,0.098473192783466,12,-0.750551477447549,-0.750551477447549,12,-0.896565102454797,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0
India,2011,好感度%（四级题，1-2档）,30.5,40.5,2861,Pew Research Center,Pew_2011_23国,0.473281344571326,0.592261043944251,12,0.404512875439149,1.53169238496772,12,1.46285900194639,1.37143738869828,12,5.04166666666667,0.0900336637378515,12,-0.757181916141932,-0.757181916141932,12,-0.903805082856532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2012,好感度%（四级题，1-2档）,26.7,37.6,2582,Pew Research Center,Pew_2012_21国,0.472099497358697,0.821119907436706,12,0.939992055948013,1.16120448501908,12,1.32409822384909,1.40535594592185,12,5,0,12,-1.00913858652847,-1.00913858652847,12,-1.17892433812244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,2014,好感度%（四级题，1-2档）,30.8,41.8,1788,Pew Research Center,Pew_2014_44国,0.586015843317154,0.738064718527703,12,1.27880653283327,1.04677227249483,12,1.42491146592484,1.55878502782011,12,5.325,0.135680105059994,12,-0.737290600058784,-0.737290600058784,12,-0.882085141651328,2,0,1,1,1,0,1,2,1,0,1,0,0,1,0,1,1,0,0,0,1
India,2016,好感度%（四级题，1-2档）,34,39.3,1806,Pew Research Center,Pew_2016_19国,0.165965241934152,0.79125262097382,12,0.466236391233472,0.947670120504097,12,1.07579063975626,2.1184713131579,12,5.79166666666667,0.0996204919895623,12,-0.52511656183854,-0.52511656183854,12,-0.650405768795823,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0
India,2017,好感度%（四级题，1-2档）,29.1,44.9,1825,Pew Research Center,Pew_2017_38国,-0.134779240443571,0.556078539227848,12,0.250457824149107,1.21570930234197,12,-0.0444035520142597,2.22288197215068,12,4.13333333333333,1.17808267446677,12,-0.850008057863289,-0.850008057863289,12,-1.00516480848081,3,1,1,1,1,1,1,3,1,0,0,0,1,1,1,1,0,0,1,0,1
India,2018,好感度%（四级题，1-2档）,13.2,38.9,1313,Pew Research Center,Pew_2018_27国,0.482396574342609,0.520196789855371,12,1.41116960676851,1.09452931024364,12,1.44292398381338,1.4303490081042,12,3.05,0.138169855941552,12,-1.90424781027013,-1.90424781027013,12,-2.15632169235661,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0
India,2019,好感度%（四级题，1-2档）,22.9,48.1,1759,Pew Research Center,Pew_2019_34国,0.11090102595025,0.787763205633627,12,0.645696541409144,1.2895934063688,12,1.34181681861821,3.15757497743818,3,3.28333333333333,0.038924947208076,12,-1.26109525691501,-1.26109525691501,12,-1.45404359338836,2,1,1,0,1,1,1,2,1,0,0,0,1,1,0,1,1,0,0,0,1
Indonesia,2005,好感度%（四级题，1-2档）,72.3,25.2,997,Pew Research Center,Pew_2005_22国,1.92556192001299,0.971125372667249,12,2.25544310038488,1.27851651640209,12,2.49259105893163,2.46600996179974,12,3.475,0.420227211268986,12,2.01434145811001,2.01434145811001,11,2.1225067250685,3,2,0,1,0,1,1,3,2,0,1,1,0,0,1,0,2,0,0,1,0
Indonesia,2006,好感度%（四级题，1-2档）,64,30.8,969,Pew Research Center,Pew_2006_15国,2.29517464231842,1.27400268883052,12,2.13151928797194,1.21758934435995,12,3.45159321967834,1.70001552344607,12,3.55833333333333,0.0514928650544438,12,1.46401504647625,1.46401504647625,11,1.52158835172454,2,1,0,1,0,1,1,2,2,0,0,1,1,0,0,0,1,0,1,0,0
Indonesia,2008,好感度%（四级题，1-2档）,59.1,32.9,920,Pew Research Center,Pew_2008_24国,1.92827983544186,1.34060675050865,12,1.74814604202975,1.62332504151313,12,2.46750117181185,3.05297109099718,12,3.8,0,12,1.1391235504515,1.1391235504515,11,1.16682931203955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,2009,好感度%（四级题，1-2档）,59.2,32.6,918,Pew Research Center,Pew_2009春_25国,1.68341566642752,1.04749559492475,12,2.80345871441848,1.5104322783196,12,1.05499828703992,3.45733387034387,12,3.74166666666667,0.0514928650544436,12,1.14575398914589,1.14575398914589,11,1.17406929244128,2,0,1,1,1,0,1,2,1,0,0,0,1,1,0,1,0,0,1,0,0
Indonesia,2010,好感度%（四级题，1-2档）,58.5,35.3,938,Pew Research Center,Pew_2010_22国,2.0022521623685,1.05919837504445,12,1.67759416732645,1.08494336197576,12,2.36331765007013,1.82588537909277,12,3.875,0.113818036595899,12,1.09934091828521,1.09934091828521,11,1.12338942962914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
