trade,variable,estimate,pvalue,sig,dropped
Trade_Imports,Event_Neutral_x_FTA_Dummy,-0.044236782790293,0.175062212674357,"",BR
Trade_Imports,Event_Neutral_x_developed,-0.00262347555051157,0.925160035241354,"",BR
Trade_Total,Event_Positive_x_z_trade_dep,-0.0229110800932388,0.146068862932371,"",CA
Trade_Total,Event_Positive_x_FTA_Dummy,0.114895476189289,0.00117147692058894,***,CA
Trade_Total,Event_Positive_x_developed,-0.0825179145551908,0.0346286830399796,**,CA
Trade_Total,Event_Positive_x_us_ally,0.10475055894011,0.00392998904567564,***,CA
Trade_Total,Event_Negative_x_z_trade_dep,-0.0392951019906041,1.34991745670078e-05,***,CA
Trade_Total,Event_Negative_x_FTA_Dummy,-0.0461842173814657,0.162741984698602,"",CA
Trade_Total,Event_Negative_x_developed,0.0812567472162143,0.194833013209444,"",CA
Trade_Total,Event_Negative_x_us_ally,0.0127575796056509,0.788248624189031,"",CA
Trade_Total,Event_Neutral_x_z_trade_dep,-0.0113889801722108,0.0321693348379973,**,CA
Trade_Total,Event_Neutral_x_FTA_Dummy,-0.0328682212577397,0.186930832212995,"",CA
Trade_Total,Event_Neutral_x_developed,-0.00408370244541316,0.84703912601067,"",CA
Trade_Exports,Event_Positive_x_z_trade_dep,-0.0258756730327818,0.0152272603814237,**,CA
Trade_Exports,Event_Positive_x_FTA_Dummy,0.123833238160666,0.00389697923457857,***,CA
Trade_Exports,Event_Positive_x_developed,-0.0833444400122321,0.0411567835650109,**,CA
Trade_Exports,Event_Positive_x_us_ally,0.0851449940651931,0.0388539681483059,**,CA
Trade_Exports,Event_Negative_x_z_trade_dep,-0.0368670071327444,1.13979274119827e-08,***,CA
Trade_Exports,Event_Negative_x_FTA_Dummy,-0.0666100265970114,0.112300803538163,"",CA
Trade_Exports,Event_Negative_x_developed,0.00961044525246643,0.867140089929526,"",CA
Trade_Exports,Event_Negative_x_us_ally,0.0370325709326578,0.448615373284545,"",CA
Trade_Exports,Event_Neutral_x_z_trade_dep,-0.0115787058212233,0.036258713517329,**,CA
Trade_Exports,Event_Neutral_x_FTA_Dummy,-0.0211695999064684,0.390164889711089,"",CA
Trade_Exports,Event_Neutral_x_developed,0.00624557052605644,0.754792614192002,"",CA
Trade_Imports,Event_Positive_x_z_trade_dep,-0.00426720325559995,0.876835698954937,"",CA
Trade_Imports,Event_Positive_x_FTA_Dummy,0.100940747282967,0.0140076046911832,**,CA
Trade_Imports,Event_Positive_x_developed,-0.112103381740671,0.0197903353782447,**,CA
Trade_Imports,Event_Positive_x_us_ally,0.139218302317929,0.0152499699411613,**,CA
Trade_Imports,Event_Negative_x_z_trade_dep,-0.0401887256266218,0.00433699818957852,***,CA
Trade_Imports,Event_Negative_x_FTA_Dummy,-0.0326647073651801,0.254874323596121,"",CA
Trade_Imports,Event_Negative_x_developed,0.213337443107383,0.0085655314552096,***,CA
Trade_Imports,Event_Negative_x_us_ally,-0.0532864949504088,0.325340281947479,"",CA
Trade_Imports,Event_Neutral_x_z_trade_dep,-0.0191655132346071,0.015452082375965,**,CA
Trade_Imports,Event_Neutral_x_FTA_Dummy,-0.0448824489889434,0.170401490478742,"",CA
Trade_Imports,Event_Neutral_x_developed,-3.48541497919362e-05,0.998970465562482,"",CA
Trade_Total,Event_Positive_x_z_trade_dep,-0.0214830153370512,0.15581162251374,"",DE
Trade_Total,Event_Positive_x_FTA_Dummy,0.116717222092212,0.000875793948796105,***,DE
Trade_Total,Event_Positive_x_developed,-0.08457888315583,0.0281088500888686,**,DE
Trade_Total,Event_Positive_x_us_ally,0.103177799239395,0.00868618670872125,***,DE
Trade_Total,Event_Negative_x_z_trade_dep,-0.0426347937335964,1.53901737623945e-07,***,DE
Trade_Total,Event_Negative_x_FTA_Dummy,-0.0486769484848661,0.142907631258698,"",DE
Trade_Total,Event_Negative_x_developed,0.0785728574868097,0.210905477691127,"",DE
Trade_Total,Event_Negative_x_us_ally,0.0246205809527866,0.58022968059889,"",DE
Trade_Total,Event_Neutral_x_z_trade_dep,-0.0102730409765203,0.058887947539621,*,DE
Trade_Total,Event_Neutral_x_FTA_Dummy,-0.0346219408598031,0.157402131445922,"",DE
Trade_Total,Event_Neutral_x_developed,-0.00758548115442242,0.734507712568085,"",DE
Trade_Exports,Event_Positive_x_z_trade_dep,-0.0255712125864552,0.00812782839276971,***,DE
Trade_Exports,Event_Positive_x_FTA_Dummy,0.12341188959788,0.00394399034662955,***,DE
Trade_Exports,Event_Positive_x_developed,-0.0817400931976543,0.0466324220177875,**,DE
Trade_Exports,Event_Positive_x_us_ally,0.0819292653699072,0.0546360231357857,*,DE
Trade_Exports,Event_Negative_x_z_trade_dep,-0.0372399569095949,1.59289842147704e-09,***,DE
Trade_Exports,Event_Negative_x_FTA_Dummy,-0.0677856138539121,0.103676334499791,"",DE
Trade_Exports,Event_Negative_x_developed,0.00548745375764386,0.923988227293773,"",DE
Trade_Exports,Event_Negative_x_us_ally,0.0428826127012186,0.356171451117277,"",DE
Trade_Exports,Event_Neutral_x_z_trade_dep,-0.00964229833905146,0.0782484421016338,*,DE
Trade_Exports,Event_Neutral_x_FTA_Dummy,-0.020519110387584,0.395779155457168,"",DE
Trade_Exports,Event_Neutral_x_developed,0.00168483944512228,0.9333060745761,"",DE
Trade_Imports,Event_Positive_x_z_trade_dep,-9.71721297649275e-05,0.997370316164433,"",DE
Trade_Imports,Event_Positive_x_FTA_Dummy,0.105077551652538,0.0124096742965178,**,DE
Trade_Imports,Event_Positive_x_developed,-0.117043973011123,0.0147878161707181,**,DE
Trade_Imports,Event_Positive_x_us_ally,0.140183967978623,0.02829542712399,**,DE
Trade_Imports,Event_Negative_x_z_trade_dep,-0.0485929673879528,3.98192166047964e-05,***,DE
Trade_Imports,Event_Negative_x_FTA_Dummy,-0.0385585023757525,0.191288063885943,"",DE
Trade_Imports,Event_Negative_x_developed,0.212969023171641,0.0102840520126957,**,DE
Trade_Imports,Event_Negative_x_us_ally,-0.0310630967177245,0.557061464846942,"",DE
Trade_Imports,Event_Neutral_x_z_trade_dep,-0.0191834377620604,0.0131707143645541,**,DE
Trade_Imports,Event_Neutral_x_FTA_Dummy,-0.0509832131038879,0.119961890202613,"",DE
Trade_Imports,Event_Neutral_x_developed,-0.00151985895362333,0.957531763769988,"",DE
Trade_Total,Event_Positive_x_z_trade_dep,-0.0213046744379666,0.173685623220214,"",ES
Trade_Total,Event_Positive_x_FTA_Dummy,0.114657729413213,0.00114726890229171,***,ES
Trade_Total,Event_Positive_x_developed,-0.0817824206582187,0.0355959089030909,**,ES
Trade_Total,Event_Positive_x_us_ally,0.101582918721166,0.005500978254171,***,ES
Trade_Total,Event_Negative_x_z_trade_dep,-0.0384496928589602,1.26810010747814e-06,***,ES
Trade_Total,Event_Negative_x_FTA_Dummy,-0.0443812045248238,0.173350177168856,"",ES
Trade_Total,Event_Negative_x_developed,0.081550361939019,0.191475177231972,"",ES
Trade_Total,Event_Negative_x_us_ally,0.0102404506540551,0.825676240304702,"",ES
Trade_Total,Event_Neutral_x_z_trade_dep,-0.0108375213136021,0.0302435655601922,**,ES
Trade_Total,Event_Neutral_x_FTA_Dummy,-0.0322119656423264,0.189434165495439,"",ES
Trade_Total,Event_Neutral_x_developed,-0.00505095369968559,0.812638655009934,"",ES
Trade_Exports,Event_Positive_x_z_trade_dep,-0.0267593612688335,0.00761829439461948,***,ES
Trade_Exports,Event_Positive_x_FTA_Dummy,0.121705256638993,0.00508676140033575,***,ES
Trade_Exports,Event_Positive_x_developed,-0.0818588148244592,0.0468214644315508,**,ES
Trade_Exports,Event_Positive_x_us_ally,0.0871705097393959,0.0450532650748051,**,ES
Trade_Exports,Event_Negative_x_z_trade_dep,-0.0346585778098938,4.12597394224402e-10,***,ES
Trade_Exports,Event_Negative_x_FTA_Dummy,-0.0651828048030696,0.11656913203381,"",ES
Trade_Exports,Event_Negative_x_developed,0.00914767468068071,0.873618714942761,"",ES
Trade_Exports,Event_Negative_x_us_ally,0.0316854035412885,0.512142553891256,"",ES
Trade_Exports,Event_Neutral_x_z_trade_dep,-0.0103622387002991,0.0492568689020934,**,ES
Trade_Exports,Event_Neutral_x_FTA_Dummy,-0.0180383413804537,0.455841893376476,"",ES
Trade_Exports,Event_Neutral_x_developed,0.00359890655898011,0.858165583395388,"",ES
Trade_Imports,Event_Positive_x_z_trade_dep,0.000959910008517099,0.973049842419947,"",ES
Trade_Imports,Event_Positive_x_FTA_Dummy,0.103332787608133,0.0129121250070502,**,ES
Trade_Imports,Event_Positive_x_developed,-0.112304858826053,0.0198082258248138,**,ES
Trade_Imports,Event_Positive_x_us_ally,0.13161835651013,0.0224764259265748,**,ES
Trade_Imports,Event_Negative_x_z_trade_dep,-0.0417709674797248,0.000970318314075251,***,ES
Trade_Imports,Event_Negative_x_FTA_Dummy,-0.0306598661595942,0.270287100791073,"",ES
Trade_Imports,Event_Negative_x_developed,0.214312177594052,0.00782019831092032,***,ES
Trade_Imports,Event_Negative_x_us_ally,-0.0507655271661846,0.341781365117831,"",ES
Trade_Imports,Event_Neutral_x_z_trade_dep,-0.0194286060428337,0.00634044397880816,***,ES
Trade_Imports,Event_Neutral_x_FTA_Dummy,-0.0476582635037797,0.144021912161352,"",ES
Trade_Imports,Event_Neutral_x_developed,0.000792085959182612,0.976305659575871,"",ES
Trade_Total,Event_Positive_x_z_trade_dep,-0.0206112819344178,0.204272158288694,"",FR
Trade_Total,Event_Positive_x_FTA_Dummy,0.115175489026285,0.00109027332063274,***,FR
Trade_Total,Event_Positive_x_developed,-0.0811951341986509,0.0361063444357488,**,FR
Trade_Total,Event_Positive_x_us_ally,0.0998032583557049,0.00701896877355444,***,FR
Trade_Total,Event_Negative_x_z_trade_dep,-0.0402744478610503,3.20547369669896e-06,***,FR
Trade_Total,Event_Negative_x_FTA_Dummy,-0.047506732218193,0.146056081220674,"",FR
Trade_Total,Event_Negative_x_developed,0.0825374207653968,0.187327996246938,"",FR
Trade_Total,Event_Negative_x_us_ally,0.0136485414603929,0.770546148258987,"",FR
Trade_Total,Event_Neutral_x_z_trade_dep,-0.0105433998155254,0.0359751404498916,**,FR
Trade_Total,Event_Neutral_x_FTA_Dummy,-0.0318452897028295,0.193121839151955,"",FR
Trade_Total,Event_Neutral_x_developed,-0.00556773204652812,0.796770263583818,"",FR
Trade_Exports,Event_Positive_x_z_trade_dep,-0.0287712328176519,0.00346883946847096,***,FR
Trade_Exports,Event_Positive_x_FTA_Dummy,0.121096972110095,0.00549375010082216,***,FR
Trade_Exports,Event_Positive_x_developed,-0.0816548384417901,0.0488072691339677,**,FR
Trade_Exports,Event_Positive_x_us_ally,0.0923247989779127,0.0333577997656124,**,FR
Trade_Exports,Event_Negative_x_z_trade_dep,-0.0360430094998599,6.03438843493179e-09,***,FR
Trade_Exports,Event_Negative_x_FTA_Dummy,-0.0663089740989008,0.111887315083942,"",FR
Trade_Exports,Event_Negative_x_developed,0.00782941578851086,0.891369086553357,"",FR
Trade_Exports,Event_Negative_x_us_ally,0.0359118334156573,0.459080312136329,"",FR
Trade_Exports,Event_Neutral_x_z_trade_dep,-0.00987422247424277,0.0622014715918968,*,FR
Trade_Exports,Event_Neutral_x_FTA_Dummy,-0.0187813050360377,0.434711554810725,"",FR
Trade_Exports,Event_Neutral_x_developed,0.00224394329390167,0.91251195984074,"",FR
Trade_Imports,Event_Positive_x_z_trade_dep,0.00875395118771099,0.775210106004264,"",FR
Trade_Imports,Event_Positive_x_FTA_Dummy,0.106931351266559,0.00995612139120261,***,FR
Trade_Imports,Event_Positive_x_developed,-0.110457824886091,0.0202697376911758,**,FR
Trade_Imports,Event_Positive_x_us_ally,0.114584976148895,0.0400221331171914,**,FR
Trade_Imports,Event_Negative_x_z_trade_dep,-0.0445424784477372,0.000981499941168562,***,FR
Trade_Imports,Event_Negative_x_FTA_Dummy,-0.0375880917884533,0.183442285957393,"",FR
Trade_Imports,Event_Negative_x_developed,0.218576570558849,0.00717698075605904,***,FR
Trade_Imports,Event_Negative_x_us_ally,-0.0483614188187844,0.36808700215783,"",FR
Trade_Imports,Event_Neutral_x_z_trade_dep,-0.0194020157987569,0.00595665937666108,***,FR
Trade_Imports,Event_Neutral_x_FTA_Dummy,-0.046055663165853,0.160936601772817,"",FR
Trade_Imports,Event_Neutral_x_developed,0.00115562659186223,0.96566326370453,"",FR
Trade_Total,Event_Positive_x_z_trade_dep,-0.0225020873859725,0.167312762267247,"",GB
Trade_Total,Event_Positive_x_FTA_Dummy,0.117052249195866,0.000882125194836611,***,GB
Trade_Total,Event_Positive_x_developed,-0.083348687330255,0.0316245448899968,**,GB
Trade_Total,Event_Positive_x_us_ally,0.106599659914836,0.00362128534477234,***,GB
Trade_Total,Event_Negative_x_z_trade_dep,-0.0416901479790358,2.46289160417376e-05,***,GB
Trade_Total,Event_Negative_x_FTA_Dummy,-0.0472662241782639,0.170910767258295,"",GB
Trade_Total,Event_Negative_x_developed,0.0853919773149125,0.173709333797278,"",GB
Trade_Total,Event_Negative_x_us_ally,0.015407982938869,0.751246506265412,"",GB
Trade_Total,Event_Neutral_x_z_trade_dep,-0.0129699809087922,0.0109662866717236,**,GB
Trade_Total,Event_Neutral_x_FTA_Dummy,-0.0362469987997381,0.155907214615963,"",GB
Trade_Total,Event_Neutral_x_developed,-0.00032400232763409,0.987235929424067,"",GB
Trade_Exports,Event_Positive_x_z_trade_dep,-0.0277815970145048,0.0115057505188389,**,GB
Trade_Exports,Event_Positive_x_FTA_Dummy,0.124620577025089,0.00393069341331343,***,GB
Trade_Exports,Event_Positive_x_developed,-0.0837334859963156,0.0421465467498988,**,GB
Trade_Exports,Event_Positive_x_us_ally,0.091638202992569,0.0254984143931458,**,GB
Trade_Exports,Event_Negative_x_z_trade_dep,-0.0369597424625758,7.32133397870405e-07,***,GB
Trade_Exports,Event_Negative_x_FTA_Dummy,-0.0660634099925853,0.130995432415894,"",GB
Trade_Exports,Event_Negative_x_developed,0.0138354551915487,0.81151726551924,"",GB
Trade_Exports,Event_Negative_x_us_ally,0.0326879156360296,0.52196657851142,"",GB
Trade_Exports,Event_Neutral_x_z_trade_dep,-0.0132174688135831,0.0207804770166101,**,GB
Trade_Exports,Event_Neutral_x_FTA_Dummy,-0.0235984394475981,0.358540220244307,"",GB
Trade_Exports,Event_Neutral_x_developed,0.0105026517864063,0.577958223073281,"",GB
Trade_Imports,Event_Positive_x_z_trade_dep,0.00059664136228188,0.983454399191714,"",GB
Trade_Imports,Event_Positive_x_FTA_Dummy,0.105273137392018,0.0114276360987032,**,GB
Trade_Imports,Event_Positive_x_developed,-0.114100384053779,0.0177017102408224,**,GB
Trade_Imports,Event_Positive_x_us_ally,0.135482471549552,0.0203901890604186,**,GB
Trade_Imports,Event_Negative_x_z_trade_dep,-0.0453481052722698,0.00136541422344741,***,GB
Trade_Imports,Event_Negative_x_FTA_Dummy,-0.0344657340107385,0.253082205235698,"",GB
Trade_Imports,Event_Negative_x_developed,0.216431483441637,0.00753467753353461,***,GB
Trade_Imports,Event_Negative_x_us_ally,-0.0436366760188858,0.423087970627572,"",GB
Trade_Imports,Event_Neutral_x_z_trade_dep,-0.0209752152352775,0.00309352428664221,***,GB
Trade_Imports,Event_Neutral_x_FTA_Dummy,-0.0494378152190106,0.138622961784888,"",GB
Trade_Imports,Event_Neutral_x_developed,0.00371225650802104,0.886216003040845,"",GB
Trade_Total,Event_Positive_x_z_trade_dep,-0.0229718236977531,0.105285209619084,"",ID
Trade_Total,Event_Positive_x_FTA_Dummy,0.134626480680829,4.5810193475521e-05,***,ID
Trade_Total,Event_Positive_x_developed,-0.106071150146869,0.00170478144230487,***,ID
