h,estimate,se,pvalue,n,n_country,window_id,db,trade,pol_var
1,0.00112530799204705,0.00107416900887881,0.294819273695786,1156,23,1,Phoenix,Trade_Total,Pol_CHN_Partner
2,0.000533142717646872,0.00123620892171441,0.666270357941164,1156,23,1,Phoenix,Trade_Total,Pol_CHN_Partner
3,-0.000112942091128136,0.00114408042508752,0.921361649483496,1156,23,1,Phoenix,Trade_Total,Pol_CHN_Partner
4,-0.000996463815270888,0.00114015408383644,0.382132991085124,1156,23,1,Phoenix,Trade_Total,Pol_CHN_Partner
5,0.00212685776422268,0.0014598688019875,0.145148731571621,1156,23,1,Phoenix,Trade_Total,Pol_CHN_Partner
6,0.0035776413867702,0.00139114916211212,0.0101195692905222,1156,23,1,Phoenix,Trade_Total,Pol_CHN_Partner
0,0.00203314855791773,0.00112715308396214,0.071264081529444,1114,23,1,Phoenix,Trade_Total,Pol_Partner_CHN
1,0.000484152752160462,0.00155341946442423,0.755292059754301,1114,23,1,Phoenix,Trade_Total,Pol_Partner_CHN
2,0.000889115440702856,0.00102791857919622,0.387057013165074,1114,23,1,Phoenix,Trade_Total,Pol_Partner_CHN
3,-0.000887527820139714,0.00125254030966204,0.478583759762694,1114,23,1,Phoenix,Trade_Total,Pol_Partner_CHN
4,-0.00187372285738376,0.00138544142425878,0.176235418127739,1114,23,1,Phoenix,Trade_Total,Pol_Partner_CHN
5,0.000915682607495287,0.001241036833465,0.460613646633776,1114,23,1,Phoenix,Trade_Total,Pol_Partner_CHN
6,-0.00119640712114037,0.00166405381151628,0.472158533262542,1114,23,1,Phoenix,Trade_Total,Pol_Partner_CHN
0,0.0016015730149945,0.00132341281340639,0.226208295394482,1158,23,1,Phoenix,Trade_Exports,Pol_Agg
1,0.00127626905754598,0.00177221111388162,0.471428746190017,1158,23,1,Phoenix,Trade_Exports,Pol_Agg
2,-0.000504254191719175,0.00156945557869199,0.747988794934769,1158,23,1,Phoenix,Trade_Exports,Pol_Agg
3,-0.00206293093548829,0.00110852316846959,0.06274808533541,1158,23,1,Phoenix,Trade_Exports,Pol_Agg
4,-0.00269846934469976,0.00146451340397657,0.0653917294309553,1158,23,1,Phoenix,Trade_Exports,Pol_Agg
5,0.000342932104107207,0.00158148229327028,0.828331321300043,1158,23,1,Phoenix,Trade_Exports,Pol_Agg
6,0.00132375206221266,0.00178248013282778,0.457695921712903,1158,23,1,Phoenix,Trade_Exports,Pol_Agg
0,0.00123934598324632,0.00124953508220344,0.321272806577873,1156,23,1,Phoenix,Trade_Exports,Pol_CHN_Partner
1,0.000348572889202213,0.00135079092311679,0.796367581276346,1156,23,1,Phoenix,Trade_Exports,Pol_CHN_Partner
2,-0.000780181798600679,0.00166247029133011,0.638861882545991,1156,23,1,Phoenix,Trade_Exports,Pol_CHN_Partner
3,-0.00139012564242393,0.000963410668024143,0.14904268054937,1156,23,1,Phoenix,Trade_Exports,Pol_CHN_Partner
4,-0.00116215118355035,0.00110038917439927,0.290910003000113,1156,23,1,Phoenix,Trade_Exports,Pol_CHN_Partner
5,0.000791852643561085,0.00181728100295806,0.663029126218999,1156,23,1,Phoenix,Trade_Exports,Pol_CHN_Partner
6,0.00260386891736602,0.00228831762609831,0.255163648229379,1156,23,1,Phoenix,Trade_Exports,Pol_CHN_Partner
