h,estimate,se,pvalue,n,n_country,db,trade,pol_var,window_id,window_label
6,-0.00124318911025593,0.00174551771410022,0.476329801196004,4842,25,Phoenix,Trade_Imports,Pol_Agg,0,Full Sample
0,0.00177012620687654,0.00189908525078381,0.351287883485964,4840,25,Phoenix,Trade_Imports,Pol_CHN_Partner,0,Full Sample
1,-0.00130215466783538,0.00106769931746906,0.222620603006898,4840,25,Phoenix,Trade_Imports,Pol_CHN_Partner,0,Full Sample
2,0.00138562981894902,0.00120230600061943,0.249125181894317,4840,25,Phoenix,Trade_Imports,Pol_CHN_Partner,0,Full Sample
3,-0.000345313585681702,0.000816721856321359,0.672437984962386,4840,25,Phoenix,Trade_Imports,Pol_CHN_Partner,0,Full Sample
4,0.00066779008452329,0.00091275208291517,0.464398928423545,4840,25,Phoenix,Trade_Imports,Pol_CHN_Partner,0,Full Sample
5,0.000458000466279245,0.000598336575558749,0.443999913800507,4840,25,Phoenix,Trade_Imports,Pol_CHN_Partner,0,Full Sample
6,0.00101563937821363,0.00140537744330551,0.469875977767826,4840,25,Phoenix,Trade_Imports,Pol_CHN_Partner,0,Full Sample
0,-0.00127227711080825,0.00289002366769556,0.659770034645944,4798,25,Phoenix,Trade_Imports,Pol_Partner_CHN,0,Full Sample
1,0.000795390560649,0.00168985558790937,0.637865324371523,4798,25,Phoenix,Trade_Imports,Pol_Partner_CHN,0,Full Sample
2,0.000600325795667663,0.001402006250619,0.668512412371865,4798,25,Phoenix,Trade_Imports,Pol_Partner_CHN,0,Full Sample
3,0.00131454923535422,0.00161277669071371,0.415023960055076,4798,25,Phoenix,Trade_Imports,Pol_Partner_CHN,0,Full Sample
4,0.00139839442528398,0.000962349409442845,0.146194693418181,4798,25,Phoenix,Trade_Imports,Pol_Partner_CHN,0,Full Sample
5,0.00119328065898434,0.0016578061317772,0.471651188839079,4798,25,Phoenix,Trade_Imports,Pol_Partner_CHN,0,Full Sample
6,-0.000650611529525174,0.00188090375691255,0.729415103622573,4798,25,Phoenix,Trade_Imports,Pol_Partner_CHN,0,Full Sample
0,0.00105232146364529,0.0158818180150964,0.947171219488506,3011,11,Tsinghua,Trade_Total,Pol_Agg,0,Full Sample
1,-0.0158080984987936,0.00948607202320451,0.095623110447249,3011,11,Tsinghua,Trade_Total,Pol_Agg,0,Full Sample
2,0.00532238710239547,0.00527399143760741,0.312890096391494,3011,11,Tsinghua,Trade_Total,Pol_Agg,0,Full Sample
3,0.0114590017896842,0.00855375434494882,0.180360499366077,3011,11,Tsinghua,Trade_Total,Pol_Agg,0,Full Sample
4,-0.00614140131934591,0.0122379621876747,0.615785685415102,3011,11,Tsinghua,Trade_Total,Pol_Agg,0,Full Sample
5,-0.00740699206658591,0.00873823767073424,0.396631332030717,3011,11,Tsinghua,Trade_Total,Pol_Agg,0,Full Sample
6,0.0322444756969253,0.015026555211053,0.0318863172725777,3011,11,Tsinghua,Trade_Total,Pol_Agg,0,Full Sample
0,-0.0020057499276753,0.0142320091142439,0.887923416785759,3011,11,Tsinghua,Trade_Exports,Pol_Agg,0,Full Sample
1,-0.0317701649718017,0.00976890063407785,0.00114525875201451,3011,11,Tsinghua,Trade_Exports,Pol_Agg,0,Full Sample
2,-0.00702101290128873,0.00879048235831531,0.424460781605389,3011,11,Tsinghua,Trade_Exports,Pol_Agg,0,Full Sample
3,0.0249156911376377,0.00863553494135321,0.00391100943051028,3011,11,Tsinghua,Trade_Exports,Pol_Agg,0,Full Sample
4,-0.0192478981346657,0.0152083047312322,0.205650021827943,3011,11,Tsinghua,Trade_Exports,Pol_Agg,0,Full Sample
5,-0.00303749299089102,0.0159250294978862,0.848731617548866,3011,11,Tsinghua,Trade_Exports,Pol_Agg,0,Full Sample
6,0.055088254980403,0.0152104593559199,0.000292633660268855,3011,11,Tsinghua,Trade_Exports,Pol_Agg,0,Full Sample
0,-0.0100581875880742,0.026278886644297,0.701906725570531,3011,11,Tsinghua,Trade_Imports,Pol_Agg,0,Full Sample
1,0.0238539387692303,0.0145111630520392,0.100210559338317,3011,11,Tsinghua,Trade_Imports,Pol_Agg,0,Full Sample
2,0.00736023857366237,0.00798351524567256,0.356565327233671,3011,11,Tsinghua,Trade_Imports,Pol_Agg,0,Full Sample
3,0.00875600791394334,0.0101544462660856,0.388531722717248,3011,11,Tsinghua,Trade_Imports,Pol_Agg,0,Full Sample
4,0.016859158372351,0.0113938497761128,0.138960851002847,3011,11,Tsinghua,Trade_Imports,Pol_Agg,0,Full Sample
5,-0.0171049354650648,0.0149166704251364,0.251505921821667,3011,11,Tsinghua,Trade_Imports,Pol_Agg,0,Full Sample
6,-0.00179023255991208,0.0154700772517157,0.907872650630478,3011,11,Tsinghua,Trade_Imports,Pol_Agg,0,Full Sample
