window_length,window_id,window_midpoint,db,trade,lag_order,avg_response_lag,immediate_share,peak_lag,sig_lags_count,sum_abs_coef,n,n_country
36,5,2007-07-01,Phoenix,Trade_Total,12,6.79492700274832,0.0203806733186231,5,2,0.0683634273057236,828,23
36,5,2007-07-01,Phoenix,Trade_Exports,3,1.4996734615682,0.337074601375785,2,0,0.00761695414872441,828,23
36,5,2007-07-01,Phoenix,Trade_Exports,6,4.18260254553319,0.0741351320022339,5,1,0.0312460882884186,828,23
36,5,2007-07-01,Phoenix,Trade_Exports,12,6.52013286955216,0.0326348345335078,5,0,0.058912783015227,828,23
36,5,2007-07-01,Phoenix,Trade_Imports,3,2.05979174839437,0.0293237061950367,2,0,0.0282920894616984,828,23
36,5,2007-07-01,Phoenix,Trade_Imports,6,3.31738073691181,0.00901601028509463,2,0,0.044329238608846,828,23
36,5,2007-07-01,Phoenix,Trade_Imports,12,6.85900209152648,0.0198134409173151,12,1,0.0944313686055258,828,23
36,5,2007-07-01,Tsinghua,Trade_Total,3,1.37965472577038,0.283411932122813,2,1,0.0224412758891351,396,11
36,5,2007-07-01,Tsinghua,Trade_Total,6,2.68906529520154,0.177799184562205,2,1,0.0322389860700454,396,11
36,5,2007-07-01,Tsinghua,Trade_Total,12,5.51108343870495,0.0771038029303836,2,2,0.0734721955618395,396,11
36,5,2007-07-01,Tsinghua,Trade_Exports,3,1.04645791558954,0.328555883577181,2,0,0.0320315676782484,396,11
36,5,2007-07-01,Tsinghua,Trade_Exports,6,2.49592861561341,0.203467913571805,2,0,0.0458423878478895,396,11
36,5,2007-07-01,Tsinghua,Trade_Exports,12,5.88619202431688,0.0864883412749489,2,1,0.0869842058614745,396,11
36,5,2007-07-01,Tsinghua,Trade_Imports,3,1.72071148319994,0.0909814241266136,2,0,0.018114215099552,396,11
36,5,2007-07-01,Tsinghua,Trade_Imports,6,3.25680756290051,0.0550837705352267,2,1,0.030361962065741,396,11
36,5,2007-07-01,Tsinghua,Trade_Imports,12,6.08149203666702,0.0034585253964829,2,2,0.0763778486603659,396,11
36,6,2008-07-01,GDELT,Trade_Total,3,1.89134071194265,0.13139332363704,3,0,0.0117752119308335,828,23
36,6,2008-07-01,GDELT,Trade_Total,6,3.14708458087316,0.0822664568427952,3,0,0.0186808494607821,828,23
36,6,2008-07-01,GDELT,Trade_Total,12,6.58409423199599,0.0229304127492088,12,1,0.036421006219508,828,23
36,6,2008-07-01,GDELT,Trade_Exports,3,1.70465788357354,0.204035907656598,3,0,0.0161679075566005,828,23
36,6,2008-07-01,GDELT,Trade_Exports,6,2.37870822582355,0.161791906595418,3,0,0.0216563657640124,828,23
36,6,2008-07-01,GDELT,Trade_Exports,12,5.36488701506914,0.0885252733720285,3,0,0.0401077872854708,828,23
36,6,2008-07-01,GDELT,Trade_Imports,3,1.89992060589332,0.14583176146037,3,2,0.0542940797016466,828,23
36,6,2008-07-01,GDELT,Trade_Imports,6,2.67317296212541,0.112101833700679,3,2,0.0721806951818523,828,23
36,6,2008-07-01,GDELT,Trade_Imports,12,5.9800515644358,0.0480238326154367,3,3,0.119275494899231,828,23
36,6,2008-07-01,ICEWS,Trade_Total,3,2.31079935791113,0.0225313081803971,2,0,0.00613290199766619,828,23
36,6,2008-07-01,ICEWS,Trade_Total,6,3.06898835106962,0.0122811591748041,2,0,0.0085806056750154,828,23
36,6,2008-07-01,ICEWS,Trade_Total,12,8.28180006192719,0.0107132050662959,10,1,0.0386429091885372,828,23
36,6,2008-07-01,ICEWS,Trade_Exports,3,2.54152404718663,0.0365583475546754,3,0,0.0109880612112987,828,23
36,6,2008-07-01,ICEWS,Trade_Exports,6,3.33823645242396,0.00190624543110324,3,0,0.0160948789499204,828,23
36,6,2008-07-01,ICEWS,Trade_Exports,12,6.91547491147062,0.0236111522374979,11,0,0.0378188172627451,828,23
36,6,2008-07-01,ICEWS,Trade_Imports,3,2.23135630897978,0.000997371470000154,2,0,0.0251071655419851,828,23
36,6,2008-07-01,ICEWS,Trade_Imports,6,2.90677352533484,0.00231845272915305,2,0,0.0345019914557464,828,23
36,6,2008-07-01,ICEWS,Trade_Imports,12,7.1764648940198,0.000997392822363813,10,1,0.0961439153714385,828,23
36,6,2008-07-01,Phoenix,Trade_Total,3,1.93363886837652,0.0977252573115906,2,0,0.0203014368071479,828,23
36,6,2008-07-01,Phoenix,Trade_Total,6,3.6106369260809,0.0417254208576922,6,0,0.0392668507363851,828,23
36,6,2008-07-01,Phoenix,Trade_Total,12,5.96219142989439,0.0200786827287698,7,2,0.0787825509721847,828,23
36,6,2008-07-01,Phoenix,Trade_Exports,3,1.08308531500397,0.523735055816567,0,0,0.00593267276945342,828,23
36,6,2008-07-01,Phoenix,Trade_Exports,6,1.72851977048485,0.409663406029291,0,0,0.00764469220343274,828,23
36,6,2008-07-01,Phoenix,Trade_Exports,12,6.75725042200732,0.112569794484791,7,0,0.0277826554007608,828,23
36,6,2008-07-01,Phoenix,Trade_Imports,3,2.07421796681434,0.0497031077952603,2,2,0.0456116630361827,828,23
36,6,2008-07-01,Phoenix,Trade_Imports,6,3.54181326737693,0.0306607132005139,2,3,0.0870104571723948,828,23
36,6,2008-07-01,Phoenix,Trade_Imports,12,5.73748798691756,0.0228978794602884,2,6,0.160272632906101,828,23
36,6,2008-07-01,Tsinghua,Trade_Total,3,1.12728488217212,0.483058440208968,0,0,0.0236676107073891,396,11
36,6,2008-07-01,Tsinghua,Trade_Total,6,3.27997402854921,0.193119623676909,5,4,0.0510172163856741,396,11
36,6,2008-07-01,Tsinghua,Trade_Total,12,5.30760506888769,0.151887745796874,0,5,0.0758717576919725,396,11
36,6,2008-07-01,Tsinghua,Trade_Exports,3,1.15644535761802,0.417013308223095,0,0,0.0397339586275508,396,11
36,6,2008-07-01,Tsinghua,Trade_Exports,6,2.84652696686315,0.217475696831526,0,1,0.0670627938222007,396,11
36,6,2008-07-01,Tsinghua,Trade_Exports,12,5.35586762832242,0.151512998689616,0,1,0.109318492728128,396,11
36,6,2008-07-01,Tsinghua,Trade_Imports,3,1.54961912066416,0.337508551626484,2,0,0.018135283527857,396,11
36,6,2008-07-01,Tsinghua,Trade_Imports,6,3.88375672584778,0.0904282429096384,5,2,0.0543270323119244,396,11
36,6,2008-07-01,Tsinghua,Trade_Imports,12,5.67034119193331,0.0795394878521713,5,1,0.0761911245169611,396,11
36,7,2009-07-01,GDELT,Trade_Total,3,1.18314198986769,0.3421232041716,0,1,0.0284881819559868,828,23
36,7,2009-07-01,GDELT,Trade_Total,6,2.24375800548626,0.25714670451126,0,1,0.0384757205255314,828,23
36,7,2009-07-01,GDELT,Trade_Total,12,4.02478640859408,0.203570979831324,0,2,0.0486110181112116,828,23
36,7,2009-07-01,GDELT,Trade_Exports,3,0.78647697570101,0.392589416615272,1,0,0.0212794181195164,828,23
36,7,2009-07-01,GDELT,Trade_Exports,6,2.2278795177078,0.24305471233704,1,0,0.0329037365564483,828,23
36,7,2009-07-01,GDELT,Trade_Exports,12,5.76709760188632,0.130761065887206,1,0,0.0611138654767676,828,23
36,7,2009-07-01,GDELT,Trade_Imports,3,1.56740890523381,0.335098208562164,3,1,0.0400371229004649,828,23
36,7,2009-07-01,GDELT,Trade_Imports,6,2.79709239242253,0.240241484502572,3,1,0.0586676893090899,828,23
36,7,2009-07-01,GDELT,Trade_Imports,12,4.3412865570303,0.186781051041391,3,1,0.0758053680385486,828,23
36,7,2009-07-01,ICEWS,Trade_Total,3,1.48865754162216,0.222310311265209,1,1,0.0234873726793545,828,23
36,7,2009-07-01,ICEWS,Trade_Total,6,2.4501386823607,0.146640135182973,1,1,0.032737913387745,828,23
36,7,2009-07-01,ICEWS,Trade_Total,12,4.85383859607534,0.108362889844345,1,1,0.0482826743878233,828,23
