window_length,lag_order,db,trade,mean_avg_lag,sd_avg_lag,median_avg_lag,mean_peak_lag,n_window
84,12,ICEWS,Trade_Exports,5.96044601888757,0.564092426263296,5.96101654555908,5.61111111111111,18
84,3,ICEWS,Trade_Imports,1.58271221399379,0.337234077285198,1.65925058460348,1.94444444444444,18
84,6,ICEWS,Trade_Imports,2.99705985771339,0.514234584352295,2.94068072385437,3.11111111111111,18
84,12,ICEWS,Trade_Imports,5.96734688300034,1.10216983838909,5.58640914627793,6.88888888888889,18
84,3,Phoenix,Trade_Total,1.22740473202736,0.469879525763176,1.27073005474207,1.11111111111111,18
84,6,Phoenix,Trade_Total,2.78718175647408,0.854656279194315,2.7690616114418,2.83333333333333,18
84,12,Phoenix,Trade_Total,5.92288249507002,1.2043381132609,5.72468768381188,6.16666666666667,18
84,3,Phoenix,Trade_Exports,1.13750258141143,0.42106376719326,0.973305055197431,0.944444444444444,18
84,6,Phoenix,Trade_Exports,2.50129883854901,0.474068480754091,2.50183285647428,1.55555555555556,18
84,12,Phoenix,Trade_Exports,5.21596784464646,0.713852141699835,5.32948008821809,2.05555555555556,18
84,3,Phoenix,Trade_Imports,1.49860910777048,0.344292134504762,1.49571643659057,1.16666666666667,18
84,6,Phoenix,Trade_Imports,2.72399926829046,0.541107480560375,2.68175059380173,2.05555555555556,18
84,12,Phoenix,Trade_Imports,5.93909300280296,1.11773702362432,6.09730075614395,6.44444444444445,18
84,3,Tsinghua,Trade_Total,1.58467743697676,0.310500429734634,1.60651570349927,1.66666666666667,18
84,6,Tsinghua,Trade_Total,2.67032199901198,0.733285577068065,2.52765426716268,2.66666666666667,18
84,12,Tsinghua,Trade_Total,5.9825122973149,1.07213070021509,5.93049047791952,5.5,18
84,3,Tsinghua,Trade_Exports,1.46869978685258,0.327121356949863,1.50511916340091,1.27777777777778,18
84,6,Tsinghua,Trade_Exports,3.20035809104489,0.746958561900113,3.10705262256732,3.88888888888889,18
84,12,Tsinghua,Trade_Exports,5.87971791112218,1.15118686483545,5.73147265301832,5.33333333333333,18
84,3,Tsinghua,Trade_Imports,1.69641200464283,0.545922859956742,1.78373154112367,1.94444444444444,18
84,6,Tsinghua,Trade_Imports,3.1531941443867,0.758341908205969,3.23723495069216,3.22222222222222,18
84,12,Tsinghua,Trade_Imports,5.62853600407814,0.914023735970181,5.49033513697295,4.5,18
